ticker,buy_trade_id,sell_trade_id,buy_date,sell_date,holding_days,buy_amount_min,sell_amount_min,match_status
PTC,14c98cd399b3,,2026-02-19,,,1001.0,,open
PTC,24befa669e01,,2026-02-23,,,1001.0,,open
PTC,40021dd16c19,,2026-03-02,,,15001.0,,open
FLUT,,a71279db8acb,,2026-01-12,,,15001.0,prior_position
FLUT,825f5cb3e031,014829963468,2026-01-21,2026-03-17,55.0,1001.0,1001.0,matched
FLUT,f8f01ef2cc05,1c888e24fbec,2026-02-12,2026-03-26,42.0,1001.0,1001.0,matched
FLUT,592669111873,,2026-02-23,,,1001.0,,open
FLUT,eb2b383dfd07,,2026-03-18,,,50001.0,,open
GEN,df8c83f9c00b,7108cbe45385,2026-01-12,2026-02-12,31.0,1001.0,1001.0,matched
GEN,83499ac04d75,92b351270aec,2026-02-12,2026-03-26,42.0,15001.0,1001.0,matched
GEN,f60b6636b713,,2026-02-23,,,1001.0,,open
QCOM,ec81b54f8929,b5248250d167,2026-02-10,2026-02-12,2.0,500001.0,100001.0,matched
QCOM,8f3ab6fab83e,1a28a59b1869,2026-02-12,2026-02-19,7.0,1001.0,1001.0,matched
QCOM,,f595dc10da10,,2026-02-23,,,1001.0,prior_position
QCOM,7015106d6691,,2026-03-02,,,100001.0,,open
QCOM,349a3f959ece,,2026-03-11,,,50001.0,,open
QCOM,b1816373b254,,2026-03-11,,,1001.0,,open
QCOM,cc2624742dd8,,2026-03-12,,,15001.0,,open
QCOM,1d9507033a1c,,2026-03-23,,,15001.0,,open
QCOM,f750d3149890,,2026-03-23,,,15001.0,,open
QCOM,7385f6e0e385,,2026-03-25,,,15001.0,,open
QCOM,256c3c3b8136,,2026-03-26,,,1001.0,,open
OPLN,1622569b1b49,203e4b22e000,2026-03-04,2026-03-30,26.0,15001.0,1001.0,matched
OPLN,2351761f40f9,,2026-03-04,,,15001.0,,open
EXPE,e25a43a5d357,,2026-02-19,,,1001.0,,open
MORN,32ee707b26cd,,2026-01-02,,,50001.0,,open
MORN,f682c5b84c13,,2026-01-12,,,50001.0,,open
MORN,42de4754950b,,2026-01-23,,,1001.0,,open
MORN,525f0438e6f7,,2026-03-28,,,1001.0,,open
MET,b089d9fe173d,bf19e027eb7e,2026-01-12,2026-02-12,31.0,1001.0,15001.0,matched
MET,,ec953a101721,,2026-02-12,,,15001.0,prior_position
MET,,6b357e0c72f6,,2026-03-04,,,1001.0,prior_position
